IDVenta,IDFecha,Fecha,IDProducto,IDCliente,IDVendedor,Cantidad,PrecioUnitario,Descuento,MontoTotal,CostoTotal
1,20230102,2023-01-02,1007,2011,33,36,5.96,0.0,214.56,126.0
2,20230104,2023-01-04,1007,2004,31,28,6.33,0.0,177.24,98.0
3,20230104,2023-01-04,1001,2054,33,76,15.78,0.07,1115.33,608.0
4,20230105,2023-01-05,1004,2031,37,31,19.6,0.0,607.6,310.0
5,20230106,2023-01-06,1018,2027,37,19,12.99,0.0,246.81,114.0
6,20230107,2023-01-07,1002,2053,35,131,16.52,0.0,2164.12,1244.5
7,20230110,2023-01-10,1007,2004,30,416,7.32,0.14,2618.8,1456.0
8,20230110,2023-01-10,1018,2016,34,166,14.16,0.08,2162.52,996.0
9,20230111,2023-01-11,1009,2008,30,9,29.04,0.0,261.36,108.0
10,20230113,2023-01-13,1005,2031,33,83,12.81,0.05,1010.07,622.5
11,20230114,2023-01-14,1007,2046,36,27,5.94,0.03,155.57,94.5
12,20230116,2023-01-16,1019,2058,34,54,39.02,0.04,2022.8,864.0
13,20230116,2023-01-16,1018,2003,33,219,11.72,0.12,2258.68,1314.0
14,20230116,2023-01-16,1002,2060,34,114,20.25,0.14,1985.31,1083.0
15,20230118,2023-01-18,1007,2004,31,28,5.71,0.0,159.88,98.0
16,20230119,2023-01-19,1007,2011,34,60,5.54,0.03,322.43,210.0
17,20230119,2023-01-19,1019,2060,30,11,35.3,0.0,388.3,176.0
18,20230120,2023-01-20,1019,2006,35,188,32.04,0.04,5782.58,3008.0
19,20230123,2023-01-23,1001,2052,33,78,15.57,0.0,1214.46,624.0
20,20230125,2023-01-25,1020,2008,36,8,39.35,0.03,305.36,152.0
21,20230126,2023-01-26,1020,2031,32,60,39.13,0.13,2042.59,1140.0
22,20230126,2023-01-26,1007,2033,37,32,6.06,0.0,193.92,112.0
23,20230127,2023-01-27,1013,2030,32,51,60.64,0.0,3092.64,1428.0
24,20230127,2023-01-27,1019,2034,37,13,33.02,0.08,394.92,208.0
25,20230127,2023-01-27,1005,2051,37,322,16.72,0.04,5168.49,2415.0
26,20230127,2023-01-27,1019,2011,31,22,31.36,0.0,689.92,352.0
27,20230130,2023-01-30,1007,2046,30,28,6.91,0.08,178.0,98.0
28,20230130,2023-01-30,1005,2008,32,120,14.71,0.02,1729.9,900.0
29,20230131,2023-01-31,1015,2042,30,6,90.88,0.0,545.28,240.0
30,20230131,2023-01-31,1013,2011,35,12,70.05,0.0,840.6,336.0
31,20230201,2023-02-01,1019,2025,37,20,39.26,0.02,769.5,320.0
32,20230202,2023-02-02,1013,2030,33,53,74.7,0.05,3761.14,1484.0
33,20230202,2023-02-02,1017,2008,36,11,30.84,0.0,339.24,165.0
34,20230203,2023-02-03,1004,2008,33,19,20.14,0.0,382.66,190.0
35,20230203,2023-02-03,1007,2025,37,132,7.09,0.0,935.88,462.0
36,20230206,2023-02-06,1006,2046,36,385,6.9,0.0,2656.5,1540.0
37,20230206,2023-02-06,1018,2031,32,28,12.58,0.0,352.24,168.0
38,20230207,2023-02-07,1002,2050,33,97,19.06,0.07,1719.4,921.5
39,20230207,2023-02-07,1007,2008,36,39,6.81,0.0,265.59,136.5
40,20230209,2023-02-09,1006,2004,34,42,7.29,0.0,306.18,168.0
41,20230210,2023-02-10,1007,2046,31,91,6.36,0.0,578.76,318.5
42,20230211,2023-02-11,1016,2034,36,12,54.14,0.08,597.71,240.0
43,20230211,2023-02-11,1002,2011,33,1050,20.52,0.13,18745.02,9975.0
44,20230211,2023-02-11,1006,2046,37,59,6.34,0.0,374.06,236.0
45,20230211,2023-02-11,1001,2003,34,114,15.07,0.07,1597.72,912.0
46,20230214,2023-02-14,1014,2031,31,6,55.25,0.0,331.5,150.0
47,20230215,2023-02-15,1015,2031,36,66,88.06,0.0,5811.96,2640.0
48,20230215,2023-02-15,1001,2054,33,30,13.88,0.0,416.4,240.0
49,20230217,2023-02-17,1017,2031,32,23,36.6,0.08,774.46,345.0
50,20230220,2023-02-20,1016,2031,37,268,42.55,0.0,11403.4,5360.0
51,20230220,2023-02-20,1011,2051,37,131,86.58,0.0,11341.98,4585.0
52,20230220,2023-02-20,1015,2024,31,9,83.79,0.0,754.11,360.0
53,20230222,2023-02-22,1020,2024,34,9,41.81,0.0,376.29,171.0
54,20230223,2023-02-23,1003,2027,34,22,21.78,0.0,479.16,264.0
55,20230223,2023-02-23,1003,2034,32,36,20.14,0.0,725.04,432.0
56,20230223,2023-02-23,1009,2030,30,11,31.67,0.04,334.44,132.0
57,20230224,2023-02-24,1001,2031,30,17,15.69,0.0,266.73,136.0
58,20230224,2023-02-24,1015,2029,30,7,101.11,0.0,707.77,280.0
59,20230225,2023-02-25,1015,2034,36,11,91.67,0.0,1008.37,440.0
60,20230227,2023-02-27,1001,2027,33,21,16.59,0.01,344.91,168.0
61,20230227,2023-02-27,1013,2030,30,6,65.23,0.0,391.38,168.0
62,20230228,2023-02-28,1002,2025,35,87,18.79,0.0,1634.73,826.5
63,20230228,2023-02-28,1019,2022,37,623,39.23,0.12,21507.46,9968.0
64,20230301,2023-03-01,1007,2046,31,193,6.26,0.0,1208.18,675.5
65,20230301,2023-03-01,1005,2024,33,21,14.6,0.0,306.6,157.5
66,20230302,2023-03-02,1001,2033,32,98,13.78,0.0,1350.44,784.0
67,20230302,2023-03-02,1005,2021,34,23,13.36,0.0,307.28,172.5
68,20230303,2023-03-03,1003,2008,33,15,21.65,0.0,324.75,180.0
69,20230303,2023-03-03,1013,2025,37,137,70.95,0.0,9720.15,3836.0
70,20230303,2023-03-03,1015,2029,37,5,99.26,0.04,476.45,200.0
71,20230304,2023-03-04,1005,2023,33,92,16.64,0.12,1347.17,690.0
72,20230304,2023-03-04,1018,2060,33,60,13.48,0.0,808.8,360.0
73,20230306,2023-03-06,1019,2054,32,14,29.41,0.0,411.74,224.0
74,20230306,2023-03-06,1005,2008,30,28,13.24,0.0,370.72,210.0
75,20230307,2023-03-07,1003,2053,31,69,22.67,0.0,1564.23,828.0
76,20230307,2023-03-07,1005,2060,31,285,13.53,0.0,3856.05,2137.5
77,20230308,2023-03-08,1018,2053,35,56,12.68,0.06,667.48,336.0
78,20230309,2023-03-09,1006,2032,31,34,7.75,0.0,263.5,136.0
79,20230310,2023-03-10,1009,2008,36,6,31.5,0.0,189.0,72.0
80,20230310,2023-03-10,1013,2024,35,5,70.99,0.04,340.75,140.0
81,20230311,2023-03-11,1001,2055,33,459,16.77,0.0,7697.43,3672.0
82,20230311,2023-03-11,1001,2008,33,39,16.54,0.03,625.71,312.0
83,20230311,2023-03-11,1015,2025,37,145,105.86,0.1,13814.73,5800.0
84,20230313,2023-03-13,1011,2034,34,7,101.66,0.0,711.62,245.0
85,20230313,2023-03-13,1015,2042,31,7,108.34,0.07,705.29,280.0
86,20230314,2023-03-14,1019,2051,37,15,32.83,0.03,477.68,240.0
87,20230314,2023-03-14,1003,2014,37,24,24.8,0.0,595.2,288.0
88,20230315,2023-03-15,1013,2060,37,271,73.5,0.09,18125.83,7588.0
89,20230315,2023-03-15,1002,2008,37,13,18.23,0.02,232.25,123.5
90,20230316,2023-03-16,1007,2060,35,22,6.26,0.02,134.97,77.0
91,20230316,2023-03-16,1006,2046,34,29,6.84,0.0,198.36,116.0
92,20230316,2023-03-16,1007,2046,35,24,6.9,0.14,142.42,84.0
93,20230317,2023-03-17,1002,2023,30,27,16.24,0.0,438.48,256.5
94,20230318,2023-03-18,1014,2031,31,14,48.63,0.03,660.4,350.0
95,20230318,2023-03-18,1009,2060,37,14,30.2,0.0,422.8,168.0
96,20230318,2023-03-18,1013,2028,33,15,62.7,0.0,940.5,420.0
97,20230320,2023-03-20,1011,2008,30,15,87.17,0.0,1307.55,525.0
98,20230320,2023-03-20,1019,2008,31,12,34.11,0.0,409.32,192.0
99,20230320,2023-03-20,1014,2029,34,117,60.31,0.0,7056.27,2925.0
100,20230321,2023-03-21,1005,2045,34,36,13.88,0.0,499.68,270.0
101,20230321,2023-03-21,1019,2034,33,28,31.54,0.02,865.46,448.0
102,20230322,2023-03-22,1015,2031,36,10,86.02,0.0,860.2,400.0
103,20230323,2023-03-23,1008,2046,33,365,8.04,0.0,2934.6,1642.5
104,20230323,2023-03-23,1019,2036,36,57,30.26,0.0,1724.82,912.0
105,20230324,2023-03-24,1019,2058,33,442,41.61,0.12,16184.63,7072.0
106,20230324,2023-03-24,1004,2008,31,31,17.57,0.0,544.67,310.0
107,20230324,2023-03-24,1005,2054,30,41,13.0,0.05,506.35,307.5
108,20230324,2023-03-24,1015,2031,33,79,90.43,0.0,7143.97,3160.0
